retailer_id,shopper_rtlr_loyalty_id
740,1004643
740,10046430
740,10046453
740,10046457
740,1004646
740,10046462
740,1004647
740,10046474
740,10046490
740,10046504
740,1004651
740,10046527
740,10046552
740,10046561
740,10046573
740,1004658
740,10046598
740,100466
740,10046629
740,10046630
740,10046649
740,10046657
740,10046662
740,10046671
740,10046675
740,10046687
740,10046701
740,1004671
740,10046723
740,10046752
740,10046756
740,1004676
740,10046769
740,10046774
740,10046788
740,10046802
740,10046820
740,10046839
740,1004684
740,10046843
740,10046854
740,10046857
740,10046879
740,1004688
740,10046882
740,10046890
740,10046899
740,10046912
740,100469141
740,1004692
740,10046925
740,10046942
740,10046948
740,1004695
740,10046951
740,100469530
740,10046954
740,10046955
740,10046956
740,10046958
740,1004696
740,1004697
740,10046974
740,10046982
740,100469871
740,10046998
740,1004700
740,1004701
740,10047025
740,10047033
740,10047041
740,10047047
740,1004705
740,1004707
740,10047073
740,1004708
740,100470882
740,1004710
740,1004711
740,10047114
740,10047119
740,1004712
740,10047126
740,10047130
740,10047137
740,10047139
740,10047140
740,1004715
740,10047153
740,10047154
740,1004718
740,1004719
740,10047204
740,10047214
740,1004722
740,10047229
740,10047236
740,10047239
740,100472454
740,1004725
740,10047255
740,10047260
740,10047283
740,10047286
740,10047290
740,10047296
740,10047315
740,10047337
740,10047354
740,10047363
740,1004737
740,100473920
740,1004740
740,100474019
740,10047406
740,1004741
740,10047419
740,10047434
740,10047445
740,10047447
740,10047448
740,10047452
740,1004746
740,10047462
740,10047470
740,10047478
740,10047481
740,1004749
740,10047501
740,10047517
740,10047518
740,1004752
740,1004754
740,10047550
740,10047575
740,10047578
740,10047598
740,100476
740,1004761
740,10047612
740,10047616
740,10047618
740,10047620
740,10047626
740,1004763
740,10047636
740,10047649
740,10047660
740,1004768
740,1004769
740,10047699
740,10047704
740,1004771
740,10047727
740,10047729
740,1004773
740,10047734
740,100477576
740,10047759
740,10047765
740,10047766
740,10047769
740,1004777
740,10047771
740,10047774
740,10047782
740,10047783
740,1004779
740,10047797
740,100477993
740,10047802
740,10047805
740,10047825
740,10047831
740,10047836
740,1004784
740,10047846
740,1004785
740,10047852
740,10047862
740,100478705
740,1004788
740,10047888
740,10047892
740,10047933
740,10047942
740,100479486
740,10047955
740,10047956
740,10047957
740,10047961
740,1004797
740,10047976
740,10047990
740,10048014
740,1004802
740,10048022
740,10048029
740,1004803
740,10048049
740,10048066
740,10048073
740,100480754
740,10048093
740,10048122
740,10048155
740,10048157
740,10048179
740,10048199
740,10048201
740,10048209
740,1004821
740,10048217
740,1004823
740,10048242
740,10048243
740,10048250
740,10048262
740,1004827
740,10048275
740,100482758
740,10048277
740,1004828
740,10048286
740,100482902
740,10048297
740,10048298
740,1004830
740,10048308
740,1004832
740,100483263
740,10048329
740,1004833
740,10048337
740,1004835
740,10048367
740,10048372
740,10048373
740,10048375
740,10048386
740,10048391
740,10048393
740,100484147
740,10048419
740,1004842
740,1004844
740,10048445
740,10048480
740,10048481
740,10048485
740,1004849
740,10048492
740,10048504
740,10048507
740,10048511
740,10048514
740,100485141
740,10048516
740,10048519
740,100485326
740,10048546
740,1004856
740,100485611
740,10048562
740,10048574
740,10048578
740,1004858
740,10048586
740,10048587
740,1004859
740,10048594
740,10048624
740,10048635
740,10048637
740,1004864
740,100486440
740,10048660
740,10048678
740,10048685
740,10048690
740,10048691
740,10048692
740,10048693
740,10048694
740,10048698
740,100487
740,1004870
740,10048711
740,10048731
740,10048744
740,10048752
740,10048757
740,1004876
740,10048763
740,10048789
740,10048796
740,10048813
740,1004884
740,10048843
740,10048847
740,1004885
740,10048850
740,10048862
740,10048863
740,10048880
740,10048897
740,10048905
740,10048906
740,10048913
740,1004893
740,10048938
740,10048943
740,10048946
740,10048959
740,10049001
740,10049007
740,10049011
740,10049038
740,10049054
740,1004906
740,10049065
740,10049067
740,10049085
740,10049089
740,10049103
740,1004911
740,10049114
740,1004912
740,100491237
740,10049142
740,10049148
740,10049162
740,10049177
740,10049199
740,100492
740,10049219
740,100492346
740,1004924
740,10049243
740,10049249
740,10049256
740,10049275
740,10049291
740,1004930
740,10049300
740,10049335
740,10049337
740,1004935
740,10049350
740,10049351
740,10049356
740,10049357
740,1004936
740,10049361
